Signatur;Geschäftstyp;Partei;Urheber/in;Titel;Beginn-Datum;Ende;Thema 1;Thema 2;Schwerpunkt;Geschäft;Status
21.5142;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend warum dürfen Ausländer in Basel die Kirche als Wohnanschrift bei der Staatsanwaltschaft Basel angeben?;2021-03-10;;Wohnen;Migration & Integration;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110800;A
21.5135;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend müssen Mieteinnahmen angegeben werden?;2021-03-10;;Steuerpolitik;Wohnen;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110794;A
21.5134;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend wenn Oma ins Pflegeheim muss;2021-03-10;;Gesundheitsversorgung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110793;A
21.5133;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Konkubinat - wann zählt man als Ehepaar?;2021-03-10;;Kinder, Jugendliche & Familien;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110792;A
21.5128;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend wieviele Wahlzettel kamen zu spät für den Zweiten Wahlgang Regierungsrat?;2021-03-10;;Politische Beteiligung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110787;A
21.5126;Schriftliche Anfrage;VA;Weber, Eric;Schriftliche Anfrage Eric Weber betreffend Basler Kantonalbank, die Eric Weber kein Konto eröffnen will;2021-03-10;;Staatsfinanzen;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110785;A
21.5109;Schriftliche Anfrage;GLP;Christ, Tobias;Schriftliche Anfrage Tobias Christ betreffend Praxis der Basler Sozialhilfebehörden im Umgang mit Vorsorgegeldern;2021-03-10;;Sozialhilfe;Staatsfinanzen;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110778;A
21.5102;Anzug;;Stöcklin, Jürg;Anzug Jürg Stöcklin und Konsorten betreffend der Reduktion von klimaschädlichem Zement und Beton im Kanton Basel-Stadt;2021-03-10;;Klima & Luft;Raumplanung;Klimawandel;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110777;B
21.5104;Anzug;EVP;Widmer-Huber, Thomas;Anzug Thomas Widmer-Huber und Konsorten betreffend eine verbesserte Kommunikation des Grossen Rates mit den Landgemeinden;2021-03-10;;Parlament & Regierung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110775;A
21.5106;Motion;SVP;Thüring, Joël;Motion Joël Thüring und Konsorten betreffend keine Marktgebühren bis zur vollständigen Erholung des Gewerbes nach der Coronakrise;2021-03-10;;Nutzung & Regulierung;Privatwirtschaft & Standort;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110773;A
21.5108;Schriftliche Anfrage;GLP;Bothe-Wenk, Sandra;Schriftliche Anfrage Sandra Bothe betreffend Problematik des Bettelns mit Hunden;2021-03-10;;Nutzung & Regulierung;;;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110772;A
21.5099;Anzug;Mitte;Herter, Balz;Anzug Balz Herter und Konsorten betreffend Bewahrung, Dokumentation und Vermittlung der Basler Fasnacht;2021-03-10;;Künste & Unterhaltung;;Gesellschaftlicher Zusammenhalt;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110760;B
21.5097;Interpellation;LDP;Hettich, Daniel;Interpellation Nr. 18 Daniel Hettich betreffend Ausschreibung von Projekten trotz Krise und Home-Office-Pflicht;2021-03-10;;Raumplanung;Arbeitsmarkt;Corona;https://grosserrat.bs.ch/index.php?option=com_gribs&view=geschaeft&laufnr=200110758;A
